TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495091458.902424] 64 bytes from 10.82.31.86: icmp_seq=1 ttl=61 time=2.54 ms
[1495091459.908691] 64 bytes from 10.82.31.86: icmp_seq=2 ttl=61 time=7.05 ms
[1495091460.918722] 64 bytes from 10.82.31.86: icmp_seq=3 ttl=61 time=15.7 ms
[1495091461.911274] 64 bytes from 10.82.31.86: icmp_seq=4 ttl=61 time=6.33 ms
[1495091462.944352] 64 bytes from 10.82.31.86: icmp_seq=5 ttl=61 time=37.9 ms
[1495091463.921636] 64 bytes from 10.82.31.86: icmp_seq=6 ttl=61 time=14.1 ms
[1495091464.928118] 64 bytes from 10.82.31.86: icmp_seq=7 ttl=61 time=19.9 ms
[1495091465.915931] 64 bytes from 10.82.31.86: icmp_seq=8 ttl=61 time=6.58 ms
[1495091466.923918] 64 bytes from 10.82.31.86: icmp_seq=9 ttl=61 time=12.7 ms
[1495091467.921393] 64 bytes from 10.82.31.86: icmp_seq=10 ttl=61 time=8.33 ms
[1495091468.923237] 64 bytes from 10.82.31.86: icmp_seq=11 ttl=61 time=8.60 ms
[1495091469.928497] 64 bytes from 10.82.31.86: icmp_seq=12 ttl=61 time=11.9 ms
[1495091470.933179] 64 bytes from 10.82.31.86: icmp_seq=13 ttl=61 time=15.5 ms
[1495091471.931422] 64 bytes from 10.82.31.86: icmp_seq=14 ttl=61 time=12.0 ms
[1495091472.929440] 64 bytes from 10.82.31.86: icmp_seq=15 ttl=61 time=8.63 ms
[1495091473.974636] 64 bytes from 10.82.31.86: icmp_seq=16 ttl=61 time=51.9 ms
[1495091474.931383] 64 bytes from 10.82.31.86: icmp_seq=17 ttl=61 time=7.51 ms
[1495091475.938378] 64 bytes from 10.82.31.86: icmp_seq=18 ttl=61 time=12.7 ms
[1495091476.936541] 64 bytes from 10.82.31.86: icmp_seq=19 ttl=61 time=8.85 ms
[1495091477.939580] 64 bytes from 10.82.31.86: icmp_seq=20 ttl=61 time=10.7 ms
[1495091478.942448] 64 bytes from 10.82.31.86: icmp_seq=21 ttl=61 time=11.6 ms
[1495091480.006525] 64 bytes from 10.82.31.86: icmp_seq=22 ttl=61 time=73.8 ms
[1495091480.944146] 64 bytes from 10.82.31.86: icmp_seq=23 ttl=61 time=10.4 ms
[1495091481.943054] 64 bytes from 10.82.31.86: icmp_seq=24 ttl=61 time=7.65 ms
[1495091482.962989] 64 bytes from 10.82.31.86: icmp_seq=25 ttl=61 time=25.5 ms
[1495091483.949080] 64 bytes from 10.82.31.86: icmp_seq=26 ttl=61 time=9.87 ms
