TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495005439.988411] 64 bytes from 10.82.31.86: icmp_seq=66 ttl=60 time=90.1 ms
[1495005441.020121] 64 bytes from 10.82.31.86: icmp_seq=67 ttl=60 time=120 ms
[1495005442.071699] 64 bytes from 10.82.31.86: icmp_seq=68 ttl=60 time=171 ms
[1495005443.069859] 64 bytes from 10.82.31.86: icmp_seq=69 ttl=60 time=169 ms
[1495005444.062402] 64 bytes from 10.82.31.86: icmp_seq=70 ttl=60 time=161 ms
[1495005445.018907] 64 bytes from 10.82.31.86: icmp_seq=71 ttl=60 time=117 ms
[1495005445.991726] 64 bytes from 10.82.31.86: icmp_seq=72 ttl=60 time=90.4 ms
[1495005446.995847] 64 bytes from 10.82.31.86: icmp_seq=73 ttl=60 time=92.9 ms
[1495005448.043758] 64 bytes from 10.82.31.86: icmp_seq=74 ttl=60 time=139 ms
[1495005449.006513] 64 bytes from 10.82.31.86: icmp_seq=75 ttl=60 time=101 ms
[1495005449.998067] 64 bytes from 10.82.31.86: icmp_seq=76 ttl=60 time=92.4 ms
[1495005451.018007] 64 bytes from 10.82.31.86: icmp_seq=77 ttl=60 time=110 ms
[1495005451.992679] 64 bytes from 10.82.31.86: icmp_seq=78 ttl=60 time=84.5 ms
[1495005452.982935] 64 bytes from 10.82.31.86: icmp_seq=79 ttl=60 time=73.1 ms
[1495005453.984464] 64 bytes from 10.82.31.86: icmp_seq=80 ttl=60 time=73.3 ms
[1495005454.967649] 64 bytes from 10.82.31.86: icmp_seq=81 ttl=60 time=55.0 ms
[1495005455.948779] 64 bytes from 10.82.31.86: icmp_seq=82 ttl=60 time=35.0 ms
[1495005456.956088] 64 bytes from 10.82.31.86: icmp_seq=83 ttl=60 time=41.1 ms
[1495005457.973587] 64 bytes from 10.82.31.86: icmp_seq=84 ttl=60 time=57.2 ms
[1495005458.944115] 64 bytes from 10.82.31.86: icmp_seq=85 ttl=60 time=26.1 ms
[1495005459.962713] 64 bytes from 10.82.31.86: icmp_seq=86 ttl=60 time=43.4 ms
[1495005460.996529] 64 bytes from 10.82.31.86: icmp_seq=87 ttl=60 time=75.6 ms
[1495005461.963272] 64 bytes from 10.82.31.86: icmp_seq=88 ttl=60 time=41.0 ms
[1495005462.976194] 64 bytes from 10.82.31.86: icmp_seq=89 ttl=60 time=52.8 ms
[1495005463.976207] 64 bytes from 10.82.31.86: icmp_seq=90 ttl=60 time=51.0 ms
[1495005464.982170] 64 bytes from 10.82.31.86: icmp_seq=91 ttl=60 time=55.8 ms
[1495005465.969033] 64 bytes from 10.82.31.86: icmp_seq=92 ttl=60 time=40.6 ms
[1495005466.991941] 64 bytes from 10.82.31.86: icmp_seq=93 ttl=60 time=61.8 ms
[1495005467.964319] 64 bytes from 10.82.31.86: icmp_seq=94 ttl=60 time=32.2 ms
[1495005468.979692] 64 bytes from 10.82.31.86: icmp_seq=95 ttl=60 time=46.4 ms
[1495005469.977801] 64 bytes from 10.82.31.86: icmp_seq=96 ttl=60 time=42.9 ms
[1495005470.976845] 64 bytes from 10.82.31.86: icmp_seq=97 ttl=60 time=40.8 ms
[1495005471.974600] 64 bytes from 10.82.31.86: icmp_seq=98 ttl=60 time=37.6 ms
[1495005472.990148] 64 bytes from 10.82.31.86: icmp_seq=99 ttl=60 time=51.4 ms
[1495005473.989012] 64 bytes from 10.82.31.86: icmp_seq=100 ttl=60 time=48.6 ms
[1495005474.991084] 64 bytes from 10.82.31.86: icmp_seq=101 ttl=60 time=49.4 ms
[1495005476.001373] 64 bytes from 10.82.31.86: icmp_seq=102 ttl=60 time=57.9 ms
[1495005476.978840] 64 bytes from 10.82.31.86: icmp_seq=103 ttl=60 time=35.2 ms
[1495005477.974098] 64 bytes from 10.82.31.86: icmp_seq=104 ttl=60 time=29.0 ms
[1495005478.984894] 64 bytes from 10.82.31.86: icmp_seq=105 ttl=60 time=38.5 ms
[1495005479.981153] 64 bytes from 10.82.31.86: icmp_seq=106 ttl=60 time=33.1 ms
[1495005480.976383] 64 bytes from 10.82.31.86: icmp_seq=107 ttl=60 time=27.2 ms
[1495005481.986945] 64 bytes from 10.82.31.86: icmp_seq=108 ttl=60 time=36.3 ms
[1495005482.987777] 64 bytes from 10.82.31.86: icmp_seq=109 ttl=60 time=35.6 ms
[1495005483.985290] 64 bytes from 10.82.31.86: icmp_seq=110 ttl=60 time=31.3 ms
[1495005484.996156] 64 bytes from 10.82.31.86: icmp_seq=111 ttl=60 time=40.6 ms
[1495005486.008123] 64 bytes from 10.82.31.86: icmp_seq=112 ttl=60 time=50.7 ms
[1495005486.991447] 64 bytes from 10.82.31.86: icmp_seq=113 ttl=60 time=33.0 ms
[1495005487.997736] 64 bytes from 10.82.31.86: icmp_seq=114 ttl=60 time=38.1 ms
[1495005488.991363] 64 bytes from 10.82.31.86: icmp_seq=115 ttl=60 time=30.4 ms
[1495005490.004106] 64 bytes from 10.82.31.86: icmp_seq=116 ttl=60 time=41.5 ms
[1495005491.025937] 64 bytes from 10.82.31.86: icmp_seq=117 ttl=60 time=62.5 ms
[1495005491.996473] 64 bytes from 10.82.31.86: icmp_seq=118 ttl=60 time=32.3 ms
[1495005493.001667] 64 bytes from 10.82.31.86: icmp_seq=119 ttl=60 time=36.0 ms
[1495005493.993097] 64 bytes from 10.82.31.86: icmp_seq=120 ttl=60 time=27.8 ms
[1495005494.991412] 64 bytes from 10.82.31.86: icmp_seq=121 ttl=60 time=25.0 ms
[1495005495.999731] 64 bytes from 10.82.31.86: icmp_seq=122 ttl=60 time=32.0 ms
[1495005497.006386] 64 bytes from 10.82.31.86: icmp_seq=123 ttl=60 time=37.4 ms
[1495005498.012530] 64 bytes from 10.82.31.86: icmp_seq=124 ttl=60 time=42.9 ms
[1495005498.997642] 64 bytes from 10.82.31.86: icmp_seq=125 ttl=60 time=27.9 ms
[1495005500.011299] 64 bytes from 10.82.31.86: icmp_seq=126 ttl=60 time=40.5 ms
[1495005501.007013] 64 bytes from 10.82.31.86: icmp_seq=127 ttl=60 time=35.5 ms
[1495005502.009111] 64 bytes from 10.82.31.86: icmp_seq=128 ttl=60 time=36.7 ms
[1495005503.016664] 64 bytes from 10.82.31.86: icmp_seq=129 ttl=60 time=43.4 ms
[1495005504.005028] 64 bytes from 10.82.31.86: icmp_seq=130 ttl=60 time=31.7 ms
[1495005505.003859] 64 bytes from 10.82.31.86: icmp_seq=131 ttl=60 time=30.2 ms
[1495005506.023008] 64 bytes from 10.82.31.86: icmp_seq=132 ttl=60 time=49.0 ms
[1495005507.002687] 64 bytes from 10.82.31.86: icmp_seq=133 ttl=60 time=29.4 ms
[1495005508.003655] 64 bytes from 10.82.31.86: icmp_seq=134 ttl=60 time=29.6 ms
[1495005509.013945] 64 bytes from 10.82.31.86: icmp_seq=135 ttl=60 time=39.0 ms
[1495005510.007841] 64 bytes from 10.82.31.86: icmp_seq=136 ttl=60 time=32.7 ms
[1495005511.010543] 64 bytes from 10.82.31.86: icmp_seq=137 ttl=60 time=34.5 ms
[1495005512.022604] 64 bytes from 10.82.31.86: icmp_seq=138 ttl=60 time=45.8 ms
[1495005513.030150] 64 bytes from 10.82.31.86: icmp_seq=139 ttl=60 time=52.3 ms
[1495005514.018429] 64 bytes from 10.82.31.86: icmp_seq=140 ttl=60 time=40.1 ms
[1495005515.016923] 64 bytes from 10.82.31.86: icmp_seq=141 ttl=60 time=38.2 ms
[1495005516.022751] 64 bytes from 10.82.31.86: icmp_seq=142 ttl=60 time=43.6 ms
[1495005517.011044] 64 bytes from 10.82.31.86: icmp_seq=143 ttl=60 time=31.0 ms
[1495005518.006771] 64 bytes from 10.82.31.86: icmp_seq=144 ttl=60 time=26.5 ms
[1495005519.009472] 64 bytes from 10.82.31.86: icmp_seq=145 ttl=60 time=28.4 ms
[1495005520.024953] 64 bytes from 10.82.31.86: icmp_seq=146 ttl=60 time=43.7 ms
[1495005521.014872] 64 bytes from 10.82.31.86: icmp_seq=147 ttl=60 time=32.7 ms
[1495005522.032106] 64 bytes from 10.82.31.86: icmp_seq=148 ttl=60 time=48.9 ms
[1495005523.021018] 64 bytes from 10.82.31.86: icmp_seq=149 ttl=60 time=37.7 ms
