TIME, SSID, BSSID, SIGNAL, ACTIVE
13:37:15.820140  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3067261 bytes (29916 packets) 	TX: 89149190 bytes (61810 packets) 	signal: -64 dBm 	tx bitrate: 57.8 MBit/s MCS 11 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:16.820082  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3165009 bytes (30874 packets) 	TX: 91649166 bytes (63541 packets) 	signal: -64 dBm 	tx bitrate: 117.0 MBit/s MCS 14  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:17.820449  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3309167 bytes (32287 packets) 	TX: 95874472 bytes (66466 packets) 	signal: -63 dBm 	tx bitrate: 52.0 MBit/s MCS 11  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:18.820168  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3349693 bytes (32684 packets) 	TX: 96975688 bytes (67229 packets) 	signal: -62 dBm 	tx bitrate: 13.0 MBit/s MCS 8  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:19.820203  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3517719 bytes (34331 packets) 	TX: 101888814 bytes (70630 packets) 	signal: -64 dBm 	tx bitrate: 86.7 MBit/s MCS 12 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:20.819957  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3677201 bytes (35894 packets) 	TX: 106734025 bytes (73984 packets) 	signal: -62 dBm 	tx bitrate: 115.6 MBit/s MCS 13 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:21.820149  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3810139 bytes (37197 packets) 	TX: 110626981 bytes (76679 packets) 	signal: -63 dBm 	tx bitrate: 72.2 MBit/s MCS 7 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:22.820032  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3843817 bytes (37527 packets) 	TX: 111579462 bytes (77344 packets) 	signal: -63 dBm 	tx bitrate: 72.2 MBit/s MCS 7 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:23.820165  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3899133 bytes (38069 packets) 	TX: 113047782 bytes (78362 packets) 	signal: -64 dBm 	tx bitrate: 43.3 MBit/s MCS 4 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:24.820148  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 3974849 bytes (38811 packets) 	TX: 115333898 bytes (79945 packets) 	signal: -64 dBm 	tx bitrate: 144.4 MBit/s MCS 15 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:25.820043  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4051687 bytes (39564 packets) 	TX: 117495744 bytes (81442 packets) 	signal: -63 dBm 	tx bitrate: 26.0 MBit/s MCS 3  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:26.820147  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4100679 bytes (40044 packets) 	TX: 118901855 bytes (82416 packets) 	signal: -63 dBm 	tx bitrate: 26.0 MBit/s MCS 3  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:27.820081  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4149059 bytes (40518 packets) 	TX: 120342646 bytes (83414 packets) 	signal: -61 dBm 	tx bitrate: 26.0 MBit/s MCS 3  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:28.820150  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4196623 bytes (40984 packets) 	TX: 121637492 bytes (84311 packets) 	signal: -62 dBm 	tx bitrate: 13.0 MBit/s MCS 8  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:29.820038  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4326501 bytes (42257 packets) 	TX: 125855573 bytes (87231 packets) 	signal: -62 dBm 	tx bitrate: 78.0 MBit/s MCS 12  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:30.820036  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4438733 bytes (43357 packets) 	TX: 128903204 bytes (89341 packets) 	signal: -63 dBm 	tx bitrate: 52.0 MBit/s MCS 11  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:31.820212  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4531177 bytes (44263 packets) 	TX: 132277405 bytes (91677 packets) 	signal: -63 dBm 	tx bitrate: 104.0 MBit/s MCS 13  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:32.820157  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4675531 bytes (45676 packets) 	TX: 136148686 bytes (94357 packets) 	signal: -62 dBm 	tx bitrate: 58.5 MBit/s MCS 6  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:33.820148  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4742373 bytes (46331 packets) 	TX: 138141467 bytes (95737 packets) 	signal: -60 dBm 	tx bitrate: 39.0 MBit/s MCS 4  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:34.820163  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4844099 bytes (47328 packets) 	TX: 140908768 bytes (97653 packets) 	signal: -62 dBm 	tx bitrate: 78.0 MBit/s MCS 12  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:35.820029  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 4960819 bytes (48472 packets) 	TX: 144165924 bytes (99908 packets) 	signal: -63 dBm 	tx bitrate: 117.0 MBit/s MCS 14  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:36.820062  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 5102529 bytes (49861 packets) 	TX: 148544400 bytes (102939 packets) 	signal: -63 dBm 	tx bitrate: 130.0 MBit/s MCS 14 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:37.820070  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 5253419 bytes (51340 packets) 	TX: 152869411 bytes (105933 packets) 	signal: -63 dBm 	tx bitrate: 57.8 MBit/s MCS 11 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:38.820146  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 5351065 bytes (52297 packets) 	TX: 155828897 bytes (107982 packets) 	signal: -62 dBm 	tx bitrate: 57.8 MBit/s MCS 5 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:39.820148  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 5451975 bytes (53286 packets) 	TX: 158627988 bytes (109920 packets) 	signal: -61 dBm 	tx bitrate: 57.8 MBit/s MCS 11 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:40.820040  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 5533403 bytes (54084 packets) 	TX: 161068719 bytes (111610 packets) 	signal: -61 dBm 	tx bitrate: 18.0 MBit/s  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:41.820078  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 5644309 bytes (55171 packets) 	TX: 164398125 bytes (113915 packets) 	signal: -62 dBm 	tx bitrate: 57.8 MBit/s MCS 5 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:42.820159  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 5772453 bytes (56427 packets) 	TX: 168171146 bytes (116527 packets) 	signal: -61 dBm 	tx bitrate: 57.8 MBit/s MCS 5 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

