TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495078618.833253] 64 bytes from 10.82.31.86: icmp_seq=2 ttl=61 time=1.97 ms
[1495078619.836757] 64 bytes from 10.82.31.86: icmp_seq=3 ttl=61 time=4.29 ms
[1495078620.836533] 64 bytes from 10.82.31.86: icmp_seq=4 ttl=61 time=2.52 ms
[1495078621.874509] 64 bytes from 10.82.31.86: icmp_seq=5 ttl=61 time=38.7 ms
[1495078622.864493] 64 bytes from 10.82.31.86: icmp_seq=6 ttl=61 time=27.3 ms
[1495078623.847577] 64 bytes from 10.82.31.86: icmp_seq=7 ttl=61 time=8.88 ms
[1495078624.857306] 64 bytes from 10.82.31.86: icmp_seq=8 ttl=61 time=17.3 ms
[1495078625.869092] 64 bytes from 10.82.31.86: icmp_seq=9 ttl=61 time=27.5 ms
[1495078626.851042] 64 bytes from 10.82.31.86: icmp_seq=10 ttl=61 time=7.75 ms
[1495078627.935312] 64 bytes from 10.82.31.86: icmp_seq=11 ttl=61 time=90.0 ms
[1495078628.859020] 64 bytes from 10.82.31.86: icmp_seq=12 ttl=61 time=12.5 ms
[1495078629.894414] 64 bytes from 10.82.31.86: icmp_seq=13 ttl=61 time=46.0 ms
[1495078631.879867] 64 bytes from 10.82.31.86: icmp_seq=15 ttl=61 time=30.6 ms
[1495078632.860110] 64 bytes from 10.82.31.86: icmp_seq=16 ttl=61 time=8.82 ms
[1495078633.880500] 64 bytes from 10.82.31.86: icmp_seq=17 ttl=61 time=28.0 ms
[1495078634.866160] 64 bytes from 10.82.31.86: icmp_seq=18 ttl=61 time=13.0 ms
[1495078635.880478] 64 bytes from 10.82.31.86: icmp_seq=19 ttl=61 time=25.8 ms
[1495078636.866531] 64 bytes from 10.82.31.86: icmp_seq=20 ttl=61 time=10.7 ms
[1495078637.864031] 64 bytes from 10.82.31.86: icmp_seq=21 ttl=61 time=6.06 ms
[1495078638.905867] 64 bytes from 10.82.31.86: icmp_seq=22 ttl=61 time=46.4 ms
[1495078639.915010] 64 bytes from 10.82.31.86: icmp_seq=23 ttl=61 time=53.7 ms
[1495078640.925605] 64 bytes from 10.82.31.86: icmp_seq=24 ttl=61 time=62.1 ms
[1495078642.336112] 64 bytes from 10.82.31.86: icmp_seq=25 ttl=61 time=471 ms
[1495078642.998392] 64 bytes from 10.82.31.86: icmp_seq=26 ttl=61 time=133 ms
[1495078643.896217] 64 bytes from 10.82.31.86: icmp_seq=27 ttl=61 time=29.5 ms
[1495078644.932054] 64 bytes from 10.82.31.86: icmp_seq=28 ttl=61 time=63.5 ms
[1495078645.914450] 64 bytes from 10.82.31.86: icmp_seq=29 ttl=61 time=44.2 ms
[1495078646.942916] 64 bytes from 10.82.31.86: icmp_seq=30 ttl=61 time=71.2 ms
[1495078647.959954] 64 bytes from 10.82.31.86: icmp_seq=31 ttl=61 time=86.6 ms
[1495078648.966825] 64 bytes from 10.82.31.86: icmp_seq=32 ttl=61 time=91.5 ms
[1495078649.972672] 64 bytes from 10.82.31.86: icmp_seq=33 ttl=61 time=95.5 ms
