TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495005374.804675] 64 bytes from 10.82.31.86: icmp_seq=1 ttl=61 time=3.30 ms
[1495005375.805714] 64 bytes from 10.82.31.86: icmp_seq=2 ttl=61 time=2.92 ms
[1495005376.814443] 64 bytes from 10.82.31.86: icmp_seq=3 ttl=61 time=10.5 ms
[1495005377.890019] 64 bytes from 10.82.31.86: icmp_seq=4 ttl=61 time=84.8 ms
[1495005378.813674] 64 bytes from 10.82.31.86: icmp_seq=5 ttl=61 time=7.49 ms
[1495005379.815437] 64 bytes from 10.82.31.86: icmp_seq=6 ttl=61 time=7.58 ms
[1495005380.828176] 64 bytes from 10.82.31.86: icmp_seq=7 ttl=61 time=18.8 ms
[1495005381.830104] 64 bytes from 10.82.31.86: icmp_seq=8 ttl=61 time=19.7 ms
[1495005382.828213] 64 bytes from 10.82.31.86: icmp_seq=9 ttl=61 time=16.1 ms
[1495005383.822164] 64 bytes from 10.82.31.86: icmp_seq=10 ttl=61 time=8.90 ms
[1495005384.826613] 64 bytes from 10.82.31.86: icmp_seq=11 ttl=61 time=12.1 ms
[1495005385.826688] 64 bytes from 10.82.31.86: icmp_seq=12 ttl=61 time=10.7 ms
[1495005386.838457] 64 bytes from 10.82.31.86: icmp_seq=13 ttl=61 time=21.0 ms
[1495005387.832870] 64 bytes from 10.82.31.86: icmp_seq=14 ttl=61 time=14.2 ms
[1495005388.838195] 64 bytes from 10.82.31.86: icmp_seq=15 ttl=61 time=18.0 ms
[1495005389.836716] 64 bytes from 10.82.31.86: icmp_seq=16 ttl=61 time=15.3 ms
[1495005391.841727] 64 bytes from 10.82.31.86: icmp_seq=18 ttl=61 time=10.3 ms
[1495005392.845759] 64 bytes from 10.82.31.86: icmp_seq=19 ttl=61 time=12.7 ms
[1495005393.855404] 64 bytes from 10.82.31.86: icmp_seq=20 ttl=61 time=20.3 ms
[1495005394.850473] 64 bytes from 10.82.31.86: icmp_seq=21 ttl=61 time=13.7 ms
[1495005395.848776] 64 bytes from 10.82.31.86: icmp_seq=22 ttl=61 time=10.8 ms
[1495005396.858557] 64 bytes from 10.82.31.86: icmp_seq=23 ttl=61 time=19.3 ms
[1495005397.851261] 64 bytes from 10.82.31.86: icmp_seq=24 ttl=61 time=10.3 ms
[1495005398.850181] 64 bytes from 10.82.31.86: icmp_seq=25 ttl=61 time=7.61 ms
[1495005399.852798] 64 bytes from 10.82.31.86: icmp_seq=26 ttl=61 time=8.17 ms
[1495005401.863590] 64 bytes from 10.82.31.86: icmp_seq=28 ttl=61 time=17.9 ms
[1495005402.856592] 64 bytes from 10.82.31.86: icmp_seq=29 ttl=61 time=9.64 ms
[1495005403.873907] 64 bytes from 10.82.31.86: icmp_seq=30 ttl=61 time=25.0 ms
[1495005404.868335] 64 bytes from 10.82.31.86: icmp_seq=31 ttl=61 time=18.0 ms
[1495005405.860751] 64 bytes from 10.82.31.86: icmp_seq=32 ttl=61 time=9.02 ms
[1495005406.866385] 64 bytes from 10.82.31.86: icmp_seq=33 ttl=61 time=13.3 ms
[1495005407.865280] 64 bytes from 10.82.31.86: icmp_seq=34 ttl=61 time=10.5 ms
[1495005408.870965] 64 bytes from 10.82.31.86: icmp_seq=35 ttl=61 time=14.3 ms
[1495005409.880070] 64 bytes from 10.82.31.86: icmp_seq=36 ttl=61 time=21.7 ms
[1495005410.875340] 64 bytes from 10.82.31.86: icmp_seq=37 ttl=61 time=14.9 ms
[1495005411.889921] 64 bytes from 10.82.31.86: icmp_seq=38 ttl=61 time=28.1 ms
[1495005412.870874] 64 bytes from 10.82.31.86: icmp_seq=39 ttl=61 time=7.53 ms
[1495005413.881415] 64 bytes from 10.82.31.86: icmp_seq=40 ttl=61 time=16.1 ms
[1495005414.901211] 64 bytes from 10.82.31.86: icmp_seq=41 ttl=61 time=34.5 ms
[1495005415.896689] 64 bytes from 10.82.31.86: icmp_seq=42 ttl=61 time=28.0 ms
[1495005416.883313] 64 bytes from 10.82.31.86: icmp_seq=43 ttl=61 time=13.2 ms
[1495005417.888060] 64 bytes from 10.82.31.86: icmp_seq=44 ttl=61 time=16.4 ms
[1495005418.883608] 64 bytes from 10.82.31.86: icmp_seq=45 ttl=61 time=10.2 ms
[1495005419.883397] 64 bytes from 10.82.31.86: icmp_seq=46 ttl=61 time=8.55 ms
[1495005420.882692] 64 bytes from 10.82.31.86: icmp_seq=47 ttl=61 time=5.85 ms
[1495005421.902206] 64 bytes from 10.82.31.86: icmp_seq=48 ttl=61 time=24.2 ms
[1495005422.890074] 64 bytes from 10.82.31.86: icmp_seq=49 ttl=61 time=10.5 ms
[1495005423.889654] 64 bytes from 10.82.31.86: icmp_seq=50 ttl=61 time=8.28 ms
[1495005424.892490] 64 bytes from 10.82.31.86: icmp_seq=51 ttl=61 time=9.39 ms
[1495005425.892472] 64 bytes from 10.82.31.86: icmp_seq=52 ttl=61 time=7.58 ms
[1495005426.897653] 64 bytes from 10.82.31.86: icmp_seq=53 ttl=61 time=10.9 ms
[1495005427.900570] 64 bytes from 10.82.31.86: icmp_seq=54 ttl=61 time=12.5 ms
[1495005428.902283] 64 bytes from 10.82.31.86: icmp_seq=55 ttl=61 time=12.4 ms
[1495005429.904126] 64 bytes from 10.82.31.86: icmp_seq=56 ttl=61 time=12.4 ms
[1495005430.936217] 64 bytes from 10.82.31.86: icmp_seq=57 ttl=61 time=42.7 ms
[1495005431.900545] 64 bytes from 10.82.31.86: icmp_seq=58 ttl=61 time=5.07 ms
[1495005432.903876] 64 bytes from 10.82.31.86: icmp_seq=59 ttl=61 time=7.00 ms
[1495005433.909068] 64 bytes from 10.82.31.86: icmp_seq=60 ttl=61 time=10.8 ms
[1495005434.913084] 64 bytes from 10.82.31.86: icmp_seq=61 ttl=61 time=13.7 ms
[1495005435.908560] 64 bytes from 10.82.31.86: icmp_seq=62 ttl=61 time=7.17 ms
[1495005436.911650] 64 bytes from 10.82.31.86: icmp_seq=63 ttl=61 time=8.75 ms
[1495005437.914887] 64 bytes from 10.82.31.86: icmp_seq=64 ttl=61 time=10.7 ms
[1495005438.919450] 64 bytes from 10.82.31.86: icmp_seq=65 ttl=61 time=13.2 ms
[1495005439.916733] 64 bytes from 10.82.31.86: icmp_seq=66 ttl=61 time=8.87 ms
[1495005440.915462] 64 bytes from 10.82.31.86: icmp_seq=67 ttl=61 time=6.51 ms
[1495005441.916001] 64 bytes from 10.82.31.86: icmp_seq=68 ttl=61 time=5.26 ms
[1495005442.925128] 64 bytes from 10.82.31.86: icmp_seq=69 ttl=61 time=12.8 ms
[1495005443.919545] 64 bytes from 10.82.31.86: icmp_seq=70 ttl=61 time=6.08 ms
[1495005444.930256] 64 bytes from 10.82.31.86: icmp_seq=71 ttl=61 time=15.1 ms
[1495005445.935388] 64 bytes from 10.82.31.86: icmp_seq=72 ttl=61 time=18.8 ms
[1495005446.932682] 64 bytes from 10.82.31.86: icmp_seq=73 ttl=61 time=14.9 ms
[1495005447.926506] 64 bytes from 10.82.31.86: icmp_seq=74 ttl=61 time=7.45 ms
[1495005448.932716] 64 bytes from 10.82.31.86: icmp_seq=75 ttl=61 time=11.9 ms
[1495005449.930105] 64 bytes from 10.82.31.86: icmp_seq=76 ttl=61 time=7.99 ms
[1495005450.937675] 64 bytes from 10.82.31.86: icmp_seq=77 ttl=61 time=14.2 ms
[1495005451.939756] 64 bytes from 10.82.31.86: icmp_seq=78 ttl=61 time=14.7 ms
[1495005452.945152] 64 bytes from 10.82.31.86: icmp_seq=79 ttl=61 time=18.1 ms
[1495005453.932304] 64 bytes from 10.82.31.86: icmp_seq=80 ttl=61 time=3.89 ms
[1495005454.957737] 64 bytes from 10.82.31.86: icmp_seq=81 ttl=61 time=27.9 ms
[1495005456.147465] 64 bytes from 10.82.31.86: icmp_seq=82 ttl=61 time=216 ms
[1495005456.940046] 64 bytes from 10.82.31.86: icmp_seq=83 ttl=61 time=8.17 ms
[1495005458.048936] 64 bytes from 10.82.31.86: icmp_seq=84 ttl=61 time=115 ms
[1495005459.204865] 64 bytes from 10.82.31.86: icmp_seq=85 ttl=61 time=270 ms
[1495005459.966080] 64 bytes from 10.82.31.86: icmp_seq=86 ttl=61 time=31.0 ms
