TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495091459.002170] 64 bytes from 10.82.31.86: icmp_seq=1 ttl=60 time=96.6 ms
[1495091459.935870] 64 bytes from 10.82.31.86: icmp_seq=2 ttl=60 time=29.6 ms
[1495091460.936103] 64 bytes from 10.82.31.86: icmp_seq=3 ttl=60 time=27.9 ms
[1495091461.937403] 64 bytes from 10.82.31.86: icmp_seq=4 ttl=60 time=28.1 ms
[1495091462.942963] 64 bytes from 10.82.31.86: icmp_seq=5 ttl=60 time=32.3 ms
[1495091463.933166] 64 bytes from 10.82.31.86: icmp_seq=6 ttl=60 time=21.1 ms
[1495091464.943875] 64 bytes from 10.82.31.86: icmp_seq=7 ttl=60 time=30.2 ms
[1495091465.944489] 64 bytes from 10.82.31.86: icmp_seq=8 ttl=60 time=29.3 ms
[1495091466.953217] 64 bytes from 10.82.31.86: icmp_seq=9 ttl=60 time=37.1 ms
[1495091467.951635] 64 bytes from 10.82.31.86: icmp_seq=10 ttl=60 time=34.4 ms
[1495091468.941167] 64 bytes from 10.82.31.86: icmp_seq=11 ttl=60 time=22.8 ms
[1495091469.951749] 64 bytes from 10.82.31.86: icmp_seq=12 ttl=60 time=32.3 ms
[1495091470.950535] 64 bytes from 10.82.31.86: icmp_seq=13 ttl=60 time=30.4 ms
[1495091471.959793] 64 bytes from 10.82.31.86: icmp_seq=14 ttl=60 time=37.8 ms
[1495091472.956840] 64 bytes from 10.82.31.86: icmp_seq=15 ttl=60 time=33.6 ms
[1495091473.979737] 64 bytes from 10.82.31.86: icmp_seq=16 ttl=60 time=55.6 ms
[1495091474.962149] 64 bytes from 10.82.31.86: icmp_seq=17 ttl=60 time=37.0 ms
[1495091475.969048] 64 bytes from 10.82.31.86: icmp_seq=18 ttl=60 time=42.7 ms
[1495091476.961456] 64 bytes from 10.82.31.86: icmp_seq=19 ttl=60 time=34.0 ms
