TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495078618.094025] 64 bytes from 10.82.31.86: icmp_seq=1 ttl=60 time=218 ms
[1495078618.930347] 64 bytes from 10.82.31.86: icmp_seq=2 ttl=60 time=55.3 ms
[1495078619.943498] 64 bytes from 10.82.31.86: icmp_seq=3 ttl=60 time=67.3 ms
[1495078620.942108] 64 bytes from 10.82.31.86: icmp_seq=4 ttl=60 time=64.3 ms
[1495078621.914425] 64 bytes from 10.82.31.86: icmp_seq=5 ttl=60 time=35.0 ms
[1495078622.910088] 64 bytes from 10.82.31.86: icmp_seq=6 ttl=60 time=29.9 ms
[1495078623.909108] 64 bytes from 10.82.31.86: icmp_seq=7 ttl=60 time=27.7 ms
[1495078624.915800] 64 bytes from 10.82.31.86: icmp_seq=8 ttl=60 time=32.4 ms
[1495078625.918378] 64 bytes from 10.82.31.86: icmp_seq=9 ttl=60 time=34.1 ms
[1495078626.939117] 64 bytes from 10.82.31.86: icmp_seq=10 ttl=60 time=53.3 ms
[1495078627.931556] 64 bytes from 10.82.31.86: icmp_seq=11 ttl=60 time=44.1 ms
[1495078628.929788] 64 bytes from 10.82.31.86: icmp_seq=12 ttl=60 time=40.7 ms
[1495078629.924711] 64 bytes from 10.82.31.86: icmp_seq=13 ttl=60 time=33.5 ms
[1495078630.916176] 64 bytes from 10.82.31.86: icmp_seq=14 ttl=60 time=23.9 ms
[1495078631.931873] 64 bytes from 10.82.31.86: icmp_seq=15 ttl=60 time=38.4 ms
[1495078632.980638] 64 bytes from 10.82.31.86: icmp_seq=16 ttl=60 time=85.1 ms
[1495078633.999154] 64 bytes from 10.82.31.86: icmp_seq=17 ttl=60 time=102 ms
[1495078635.110987] 64 bytes from 10.82.31.86: icmp_seq=18 ttl=60 time=213 ms
[1495078635.980894] 64 bytes from 10.82.31.86: icmp_seq=19 ttl=60 time=82.6 ms
[1495078636.930952] 64 bytes from 10.82.31.86: icmp_seq=20 ttl=60 time=30.6 ms
[1495078637.931193] 64 bytes from 10.82.31.86: icmp_seq=21 ttl=60 time=28.8 ms
[1495078638.932676] 64 bytes from 10.82.31.86: icmp_seq=22 ttl=60 time=28.7 ms
[1495078639.942387] 64 bytes from 10.82.31.86: icmp_seq=23 ttl=60 time=37.2 ms
[1495078641.000347] 64 bytes from 10.82.31.86: icmp_seq=24 ttl=60 time=93.6 ms
[1495078641.941076] 64 bytes from 10.82.31.86: icmp_seq=25 ttl=60 time=33.4 ms
[1495078642.938828] 64 bytes from 10.82.31.86: icmp_seq=26 ttl=60 time=29.3 ms
[1495078643.952164] 64 bytes from 10.82.31.86: icmp_seq=27 ttl=60 time=40.9 ms
