TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.73 (10.82.31.73) 56(84) bytes of data.
[1489980301.828424] 64 bytes from 10.82.31.73: icmp_seq=66 ttl=61 time=12.1 ms
[1489980302.832849] 64 bytes from 10.82.31.73: icmp_seq=67 ttl=61 time=15.2 ms
[1489980303.833007] 64 bytes from 10.82.31.73: icmp_seq=68 ttl=61 time=13.9 ms
[1489980304.831668] 64 bytes from 10.82.31.73: icmp_seq=69 ttl=61 time=11.4 ms
[1489980305.833020] 64 bytes from 10.82.31.73: icmp_seq=70 ttl=61 time=11.1 ms
[1489980306.839862] 64 bytes from 10.82.31.73: icmp_seq=71 ttl=61 time=16.6 ms
[1489980307.839205] 64 bytes from 10.82.31.73: icmp_seq=72 ttl=61 time=14.1 ms
[1489980308.841662] 64 bytes from 10.82.31.73: icmp_seq=73 ttl=61 time=15.2 ms
[1489980309.840931] 64 bytes from 10.82.31.73: icmp_seq=74 ttl=61 time=13.0 ms
[1489980310.846747] 64 bytes from 10.82.31.73: icmp_seq=75 ttl=61 time=17.6 ms
[1489980311.837814] 64 bytes from 10.82.31.73: icmp_seq=76 ttl=61 time=6.85 ms
[1489980312.840282] 64 bytes from 10.82.31.73: icmp_seq=77 ttl=61 time=8.20 ms
[1489980313.885407] 64 bytes from 10.82.31.73: icmp_seq=78 ttl=61 time=51.7 ms
[1489980314.851891] 64 bytes from 10.82.31.73: icmp_seq=79 ttl=61 time=17.0 ms
[1489980315.861446] 64 bytes from 10.82.31.73: icmp_seq=80 ttl=61 time=25.1 ms
[1489980316.850469] 64 bytes from 10.82.31.73: icmp_seq=81 ttl=61 time=12.7 ms
[1489980317.849681] 64 bytes from 10.82.31.73: icmp_seq=82 ttl=61 time=10.0 ms
[1489980318.928149] 64 bytes from 10.82.31.73: icmp_seq=83 ttl=61 time=87.0 ms
[1489980319.902378] 64 bytes from 10.82.31.73: icmp_seq=84 ttl=61 time=59.8 ms
[1489980320.967808] 64 bytes from 10.82.31.73: icmp_seq=85 ttl=61 time=124 ms
[1489980321.896530] 64 bytes from 10.82.31.73: icmp_seq=86 ttl=61 time=51.5 ms
[1489980322.857981] 64 bytes from 10.82.31.73: icmp_seq=87 ttl=61 time=11.0 ms
[1489980323.867943] 64 bytes from 10.82.31.73: icmp_seq=88 ttl=61 time=19.6 ms
[1489980324.894273] 64 bytes from 10.82.31.73: icmp_seq=89 ttl=61 time=43.9 ms
[1489980325.883465] 64 bytes from 10.82.31.73: icmp_seq=90 ttl=61 time=31.9 ms
[1489980326.862590] 64 bytes from 10.82.31.73: icmp_seq=91 ttl=61 time=9.74 ms
[1489980327.911673] 64 bytes from 10.82.31.73: icmp_seq=92 ttl=61 time=56.8 ms
[1489980328.875653] 64 bytes from 10.82.31.73: icmp_seq=93 ttl=61 time=19.7 ms
[1489980329.866866] 64 bytes from 10.82.31.73: icmp_seq=94 ttl=61 time=8.92 ms
[1489980331.445405] 64 bytes from 10.82.31.73: icmp_seq=95 ttl=61 time=586 ms
[1489980332.876887] 64 bytes from 10.82.31.73: icmp_seq=97 ttl=61 time=10.7 ms
[1489980333.882199] 64 bytes from 10.82.31.73: icmp_seq=98 ttl=61 time=14.0 ms
[1489980334.879119] 64 bytes from 10.82.31.73: icmp_seq=99 ttl=61 time=9.63 ms
[1489980335.882596] 64 bytes from 10.82.31.73: icmp_seq=100 ttl=61 time=10.9 ms
[1489980336.902800] 64 bytes from 10.82.31.73: icmp_seq=101 ttl=61 time=29.7 ms
[1489980337.887174] 64 bytes from 10.82.31.73: icmp_seq=102 ttl=61 time=12.1 ms
[1489980338.901979] 64 bytes from 10.82.31.73: icmp_seq=103 ttl=61 time=25.4 ms
[1489980339.980935] 64 bytes from 10.82.31.73: icmp_seq=104 ttl=61 time=102 ms
[1489980340.881441] 64 bytes from 10.82.31.73: icmp_seq=105 ttl=61 time=1.39 ms
