TIME, SSID, BSSID, SIGNAL, ACTIVE
13:24:14.701652  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 1586223 bytes (15404 packets) 	TX: 43848078 bytes (30356 packets) 	signal: -57 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:15.701609  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 1804967 bytes (17548 packets) 	TX: 49873972 bytes (34528 packets) 	signal: -60 dBm 	tx bitrate: 27.0 MBit/s MCS 8 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:16.701757  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 1877123 bytes (18255 packets) 	TX: 51912993 bytes (35940 packets) 	signal: -62 dBm 	tx bitrate: 27.0 MBit/s MCS 8 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:17.701588  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 1982291 bytes (19281 packets) 	TX: 55083449 bytes (38135 packets) 	signal: -65 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:18.701450  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 2242355 bytes (21765 packets) 	TX: 61651174 bytes (42682 packets) 	signal: -63 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:19.701491  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 2307871 bytes (22407 packets) 	TX: 63532690 bytes (43985 packets) 	signal: -65 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:20.701769  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 2382873 bytes (23142 packets) 	TX: 65610726 bytes (45424 packets) 	signal: -66 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:21.701665  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 2532167 bytes (24605 packets) 	TX: 69870712 bytes (48373 packets) 	signal: -64 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:22.701765  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 2738389 bytes (26626 packets) 	TX: 75688408 bytes (52400 packets) 	signal: -66 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

