TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.73 (10.82.31.73) 56(84) bytes of data.
[1489980236.822893] 64 bytes from 10.82.31.73: icmp_seq=1 ttl=61 time=94.9 ms
[1489980237.932540] 64 bytes from 10.82.31.73: icmp_seq=2 ttl=61 time=203 ms
[1489980238.994556] 64 bytes from 10.82.31.73: icmp_seq=3 ttl=61 time=265 ms
[1489980239.952345] 64 bytes from 10.82.31.73: icmp_seq=4 ttl=61 time=221 ms
[1489980240.965383] 64 bytes from 10.82.31.73: icmp_seq=5 ttl=61 time=232 ms
[1489980242.016921] 64 bytes from 10.82.31.73: icmp_seq=6 ttl=61 time=283 ms
[1489980242.980190] 64 bytes from 10.82.31.73: icmp_seq=7 ttl=61 time=246 ms
[1489980243.925569] 64 bytes from 10.82.31.73: icmp_seq=8 ttl=61 time=190 ms
[1489980244.985987] 64 bytes from 10.82.31.73: icmp_seq=9 ttl=61 time=249 ms
[1489980246.044675] 64 bytes from 10.82.31.73: icmp_seq=10 ttl=61 time=307 ms
[1489980247.079735] 64 bytes from 10.82.31.73: icmp_seq=11 ttl=61 time=342 ms
[1489980248.206032] 64 bytes from 10.82.31.73: icmp_seq=12 ttl=61 time=468 ms
[1489980249.511771] 64 bytes from 10.82.31.73: icmp_seq=13 ttl=61 time=774 ms
[1489980250.492398] 64 bytes from 10.82.31.73: icmp_seq=14 ttl=61 time=755 ms
[1489980251.809894] 64 bytes from 10.82.31.73: icmp_seq=15 ttl=61 time=1072 ms
[1489980253.160756] 64 bytes from 10.82.31.73: icmp_seq=16 ttl=61 time=1416 ms
[1489980254.469784] 64 bytes from 10.82.31.73: icmp_seq=17 ttl=61 time=1724 ms
[1489980255.344517] 64 bytes from 10.82.31.73: icmp_seq=18 ttl=61 time=1598 ms
[1489980255.849384] 64 bytes from 10.82.31.73: icmp_seq=19 ttl=61 time=1103 ms
[1489980256.661754] 64 bytes from 10.82.31.73: icmp_seq=20 ttl=61 time=916 ms
[1489980257.601175] 64 bytes from 10.82.31.73: icmp_seq=21 ttl=61 time=856 ms
[1489980258.594643] 64 bytes from 10.82.31.73: icmp_seq=22 ttl=61 time=849 ms
[1489980259.881106] 64 bytes from 10.82.31.73: icmp_seq=23 ttl=61 time=1136 ms
[1489980261.893380] 64 bytes from 10.82.31.73: icmp_seq=24 ttl=61 time=2147 ms
[1489980262.622405] 64 bytes from 10.82.31.73: icmp_seq=25 ttl=61 time=1874 ms
[1489980263.747601] 64 bytes from 10.82.31.73: icmp_seq=26 ttl=61 time=1991 ms
[1489980264.428123] 64 bytes from 10.82.31.73: icmp_seq=27 ttl=61 time=1672 ms
[1489980264.846491] 64 bytes from 10.82.31.73: icmp_seq=28 ttl=61 time=1088 ms
[1489980265.253908] 64 bytes from 10.82.31.73: icmp_seq=29 ttl=61 time=496 ms
[1489980266.261764] 64 bytes from 10.82.31.73: icmp_seq=30 ttl=61 time=504 ms
[1489980267.449044] 64 bytes from 10.82.31.73: icmp_seq=31 ttl=61 time=691 ms
[1489980269.006751] 64 bytes from 10.82.31.73: icmp_seq=32 ttl=61 time=1249 ms
[1489980269.550611] 64 bytes from 10.82.31.73: icmp_seq=33 ttl=61 time=793 ms
[1489980270.406593] 64 bytes from 10.82.31.73: icmp_seq=34 ttl=61 time=649 ms
[1489980271.333490] 64 bytes from 10.82.31.73: icmp_seq=35 ttl=61 time=576 ms
[1489980272.254075] 64 bytes from 10.82.31.73: icmp_seq=36 ttl=61 time=496 ms
[1489980273.087949] 64 bytes from 10.82.31.73: icmp_seq=37 ttl=61 time=330 ms
[1489980274.046002] 64 bytes from 10.82.31.73: icmp_seq=38 ttl=61 time=288 ms
[1489980275.094437] 64 bytes from 10.82.31.73: icmp_seq=39 ttl=61 time=336 ms
[1489980276.163965] 64 bytes from 10.82.31.73: icmp_seq=40 ttl=61 time=406 ms
[1489980277.121964] 64 bytes from 10.82.31.73: icmp_seq=41 ttl=61 time=364 ms
[1489980278.123569] 64 bytes from 10.82.31.73: icmp_seq=42 ttl=61 time=366 ms
[1489980279.108089] 64 bytes from 10.82.31.73: icmp_seq=43 ttl=61 time=350 ms
[1489980280.059674] 64 bytes from 10.82.31.73: icmp_seq=44 ttl=61 time=302 ms
[1489980280.994469] 64 bytes from 10.82.31.73: icmp_seq=45 ttl=61 time=236 ms
[1489980282.522408] 64 bytes from 10.82.31.73: icmp_seq=46 ttl=61 time=763 ms
[1489980284.760285] 64 bytes from 10.82.31.73: icmp_seq=47 ttl=61 time=2001 ms
[1489980285.343493] 64 bytes from 10.82.31.73: icmp_seq=48 ttl=61 time=1575 ms
[1489980286.379817] 64 bytes from 10.82.31.73: icmp_seq=49 ttl=61 time=1609 ms
[1489980287.100697] 64 bytes from 10.82.31.73: icmp_seq=50 ttl=61 time=1330 ms
[1489980288.209192] 64 bytes from 10.82.31.73: icmp_seq=51 ttl=61 time=1438 ms
[1489980289.221650] 64 bytes from 10.82.31.73: icmp_seq=52 ttl=61 time=1450 ms
[1489980290.439453] 64 bytes from 10.82.31.73: icmp_seq=53 ttl=61 time=1668 ms
[1489980292.212054] 64 bytes from 10.82.31.73: icmp_seq=54 ttl=61 time=2440 ms
[1489980292.892701] 64 bytes from 10.82.31.73: icmp_seq=55 ttl=61 time=2120 ms
[1489980293.517566] 64 bytes from 10.82.31.73: icmp_seq=56 ttl=61 time=1737 ms
[1489980295.747347] 64 bytes from 10.82.31.73: icmp_seq=57 ttl=61 time=2966 ms
[1489980308.601610] 64 bytes from 10.82.31.73: icmp_seq=58 ttl=61 time=14821 ms
[1489980311.296961] 64 bytes from 10.82.31.73: icmp_seq=59 ttl=61 time=16508 ms
[1489980312.832865] 64 bytes from 10.82.31.73: icmp_seq=60 ttl=61 time=17044 ms
[1489980313.031433] 64 bytes from 10.82.31.73: icmp_seq=61 ttl=61 time=16235 ms
[1489980313.475366] 64 bytes from 10.82.31.73: icmp_seq=63 ttl=61 time=14663 ms
[1489980313.594933] 64 bytes from 10.82.31.73: icmp_seq=64 ttl=61 time=13774 ms
[1489980313.615706] 64 bytes from 10.82.31.73: icmp_seq=65 ttl=61 time=12787 ms
[1489980313.722581] 64 bytes from 10.82.31.73: icmp_seq=66 ttl=61 time=11886 ms
[1489980314.016010] 64 bytes from 10.82.31.73: icmp_seq=69 ttl=61 time=9156 ms
[1489980314.197132] 64 bytes from 10.82.31.73: icmp_seq=70 ttl=61 time=8329 ms
[1489980314.239587] 64 bytes from 10.82.31.73: icmp_seq=71 ttl=61 time=7363 ms
[1489980314.637531] 64 bytes from 10.82.31.73: icmp_seq=72 ttl=61 time=6753 ms
[1489980316.230855] 64 bytes from 10.82.31.73: icmp_seq=76 ttl=61 time=4330 ms
[1489980316.300010] 64 bytes from 10.82.31.73: icmp_seq=77 ttl=61 time=3399 ms
[1489980316.369087] 64 bytes from 10.82.31.73: icmp_seq=78 ttl=61 time=2468 ms
[1489980316.466149] 64 bytes from 10.82.31.73: icmp_seq=79 ttl=61 time=1565 ms
[1489980316.540448] 64 bytes from 10.82.31.73: icmp_seq=80 ttl=61 time=632 ms
[1489980317.996490] 64 bytes from 10.82.31.73: icmp_seq=81 ttl=61 time=1088 ms
[1489980325.161956] 64 bytes from 10.82.31.73: icmp_seq=88 ttl=61 time=1205 ms
[1489980327.584076] 64 bytes from 10.82.31.73: icmp_seq=89 ttl=61 time=2620 ms
[1489980328.265071] 64 bytes from 10.82.31.73: icmp_seq=90 ttl=61 time=2300 ms
[1489980328.475119] 64 bytes from 10.82.31.73: icmp_seq=91 ttl=61 time=1503 ms
[1489980328.798820] 64 bytes from 10.82.31.73: icmp_seq=92 ttl=61 time=826 ms
[1489980329.996822] 64 bytes from 10.82.31.73: icmp_seq=93 ttl=61 time=1025 ms
[1489980331.132752] 64 bytes from 10.82.31.73: icmp_seq=94 ttl=61 time=1152 ms
